,Ticket Number,Date Created,Subject,From,From Email,Priority,Department,Type,Source,Current Status,Last Updated,Due Date,Overdue,Answered,Agent Assigned,Team Assigned,Thread Count,Attachment Count,Category,Issue Origin,Select Ticket Status Update,SLA DUE DATE,Breached SLA,
17,111493,8/23/20 11:39,Port Issue After Patching Activity (23-AUG-20),Kenex Willows,kwillows@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,8/28/20 17:08,8/23/20 23:39,0,1,Jared Smith,JDE Support Team,12,3,PROD,PRODUCTION,New Ticket,23/08/2020 00:00,NO,
18,111487,8/15/20 12:41,ERROR 504 GATEWAY TIMEOUT,Marvin Peters,mpeters@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,8/24/20 18:15,8/16/20 0:41,0,1,Jared Smith,SAP Support Team,8,1,PROD,PRODUCTION,New Ticket,15/08/2020 00:00,NO,
19,111479,8/7/20 13:44,ERROR FOR WINSCP APPLICATION,Tomi Yamamoto,tyamamoto@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,8/18/20 17:09,8/8/20 1:44,0,1,Jared Smith,Network Team,4,1,PROD,DEVELOPMENT,New Ticket,07/08/2020 00:00,NO,
20,111451,7/1/20 9:12,Laptop Repair,Monique Smiths,msmiths@yahoo.com,Emergency,Internal Technical Department,Incident / Problem,Phone,Closed,7/9/20 15:16,7/2/20 17:00,0,1,Jared Smith,Network Team,4,0,"NON-PROD,NON-PROD","DEVELOPMENT,DEVELOPMENT",New Ticket,01/07/2020 00:00,NO,
53,111478,7/30/20 13:27,Create Accounting Warning Error Messages,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,4/8/21 15:18,7/30/20 19:27,1,1,Mark Jikkins,JDE Support Team,132,25,PROD,PRODUCTION,New Ticket,04/08/2020 00:00,NO,
54,111633,3/11/21 10:41,Chedft_2018 Error Generating,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Resolved,4/7/21 15:05,3/16/21 10:41,1,0,Mark Jikkins,SAP Support Team,32,8,PROD,PRODUCTION,New Ticket,16/03/2021 00:00,NO,
55,111649,3/23/21 16:39,Error Uploading Template in Report Definition,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,4/5/21 8:50,9/22/23 4:39,0,1,Mark Jikkins,SAP Support Team,6,2,PROD,PRODUCTION,New Ticket,26/03/2021 00:00,NO,
56,111570,12/4/20 9:35,Applying Withholding Tax,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/31/21 11:52,12/4/20 15:35,1,1,Mark Jikkins,JDE Support Team,38,5,PROD,PRODUCTION,New Ticket,09/12/2020 00:00,NO,
57,111501,9/9/20 13:27,Self Service - Legislative Information,Troy Daniels,troy.daniels@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/21 18:56,9/12/20 13:27,0,1,Jared Smith,JDE Support Team,59,8,PROD,PRODUCTION,New Ticket,14/09/2020 00:00,NO,
58,111590,1/10/21 21:35,SPMS - Approver's Page,Jane Wilberts,jwilberts@mailinator.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/8/21 17:02,1/11/21 3:35,0,1,Jared Smith,JDE Support Team,13,4,PROD,PRODUCTION,New Ticket,13/01/2021 00:00,NO,
59,111597,1/22/21 13:59,UP Los Baños not included in PMP,Jane Wilberts,jwilberts@mailinator.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/5/21 17:31,1/22/21 19:59,0,1,Jared Smith,JDE Support Team,14,5,PROD,PRODUCTION,New Ticket,27/01/2021 00:00,NO,
60,111601,1/28/21 17:07,Slow Performance ,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/29/21 17:14,1/28/21 23:07,0,1,Jared Smith,SAP Support Team,6,2,PROD,PRODUCTION,Close Ticket,02/02/2021 00:00,NO,
61,111549,11/10/20 10:16,Java loads but won't launch applet,Kenex Willows,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/22/21 18:08,11/10/20 22:16,0,1,Jared Smith,JDE Support Team,19,11,PROD,PRODUCTION,Close Ticket,13/11/2020 00:00,NO,
62,111588,12/29/20 12:37,End date element entries for 300 Employees,Melody Thompson,mthompson@yahoo.com,High,SAP JDE Support Department,Request,Web,Closed,1/19/21 17:38,12/30/20 0:37,0,1,Jared Smith,JDE Support Team,10,1,NON-PROD,TEST,New Ticket,No SLA for Request,YES,
63,111565,12/1/20 9:47,Slowdown in JDE Prod,Melody Thompson,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/19/21 17:31,12/1/20 21:47,0,1,Jared Smith,JDE Support Team,14,2,PROD,PRODUCTION,New Ticket,04/12/2020 00:00,NO,
64,111587,12/29/20 12:22,Errors in ODSM,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/13/21 17:04,12/30/20 0:22,0,1,Jared Smith,SAP Support Team,7,2,NON-PROD,PRODUCTION,New Ticket,01/01/2021 00:00,NO,
65,111574,12/10/20 9:52,12/01/2020 11:58AM ODSM Login Issue,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/21 17:46,12/10/20 21:52,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,15/12/2020 00:00,NO,
66,111577,12/10/20 10:15,12/03/2020 11:37AM ODSM Issue ,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/21 17:42,12/10/20 22:15,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,15/12/2020 00:00,NO,
67,111506,9/23/20 18:02,Create Accounting - Accounting Class Error,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,12/9/20 12:30,9/24/20 0:02,1,0,Mark Jikkins,JDE Support Team,31,3,PROD,PRODUCTION,New Ticket,28/09/2020 00:00,NO,
68,111539,10/21/20 15:16,APP-SQLAP-10000 in Payables Module,Kenex Willows,kwillows@yahoo.com,High,SAP JDE Support Department,Request,Web,Closed,12/3/20 8:00,10/22/20 3:16,0,1,Jared Smith,JDE Support Team,7,0,NON-PROD,TEST,Close Ticket,No SLA for Request,YES,
69,111535,10/19/20 10:00,VPN Setup,Tomi Yamamoto,tyamamoto@gmail.com,High,Internal Technical Department,Request,Web,Closed,11/17/20 12:22,10/19/20 22:00,0,1,Jared Smith,Help Desk Team,4,0,PROD,DEVELOPMENT,New Ticket,No SLA for Request,YES,
70,111517,10/5/20 13:03,Cannot Generate report after DB Downgrade,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/14/20 17:16,10/6/20 1:03,0,1,Jared Smith,SAP Support Team,6,1,PROD,PRODUCTION,New Ticket,08/10/2020 00:00,NO,
71,111495,8/23/20 14:23,Web ADI Issue,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/23/20 18:27,8/24/20 2:23,0,1,Jared Smith,JDE Support Team,21,2,PROD,PRODUCTION,New Ticket,26/08/2020 00:00,NO,
72,111498,8/27/20 10:53,Error still occured in BEE Spreadsheet page,Melody Thompson,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/21/20 14:17,8/27/20 22:53,0,1,Jared Smith,JDE Support Team,18,3,PROD,PRODUCTION,New Ticket,01/09/2020 00:00,NO,
73,111474,7/21/20 13:39,Oracle Web ADI: Fatal Error,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/5/20 17:49,7/22/20 1:39,0,1,Jared Smith,JDE Support Team,13,4,PROD,PRODUCTION,Close Ticket,24/07/2020 00:00,NO,
74,111469,7/13/20 11:03,Error page in BEE spreadsheet Interface,Melody Thompson,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/3/20 12:12,7/13/20 23:03,0,1,Jared Smith,JDE Support Team,11,5,PROD,PRODUCTION,Close Ticket,16/07/2020 00:00,NO,
75,111446,6/18/20 15:35,URL Attachment - Authority to Fill,Troy Daniels,troy.daniels@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/30/20 17:03,6/19/20 3:35,0,1,Jared Smith,JDE Support Team,5,4,PROD,PRODUCTION,New Ticket,23/06/2020 00:00,NO,
168,111656,3/31/21 10:32,Cannot access JDE-SIT in MAC,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/12/21 9:15,9/29/23 22:32,0,0,Mark Jikkins,JDE Support Team,3,1,NON-PROD,TEST,Close Ticket,07/04/2021 00:00,NO,
169,111624,2/24/21 8:31,Employee Legislative Information - Mismatch,Troy Daniels,troy.daniels@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/8/21 11:24,8/25/23 20:31,0,1,Mark Jikkins,JDE Support Team,17,4,PROD,PRODUCTION,New Ticket,03/03/2021 00:00,NO,
170,111660,4/8/21 8:40,Cannot open attachment in JDE SIT,Erick White,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/8/21 8:40,10/7/23 20:40,0,1,Mark Jikkins,JDE Support Team,3,0,NON-PROD,TEST,New Ticket,15/04/2021 00:00,NO,
171,111560,11/19/20 12:18,STUCK PR and PPMP Approval,Riza Richardson,rrichardson@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,4/7/21 17:34,11/24/20 12:18,0,1,Jared Smith,JDE Support Team,41,8,PROD,PRODUCTION,Close Ticket,26/11/2020 00:00,NO,
172,111659,4/7/21 13:16,How to run SQL package,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Request,Web,Open,4/7/21 16:42,10/7/23 1:16,0,1,Satya Prakash,JDE Support Team,5,1,PROD,PRODUCTION,New Ticket,No SLA for Request,YES,
173,111657,4/5/21 16:22,Display footer on generated report.,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,4/7/21 16:34,10/5/23 4:22,0,0,Satya Prakash,SAP Support Team,4,1,NON-PROD,TEST,New Ticket,No SLA for Request,YES,
174,111420,5/5/20 2:18,Deferred PO Transactions,Riza Richardson,rrichardson@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/7/21 14:53,5/10/20 2:18,1,0,Satya Prakash,JDE Support Team,179,43,PROD,PRODUCTION,New Ticket,12/05/2020 00:00,NO,
175,111650,3/24/21 15:13,BEE Spreadsheet Issue,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,4/7/21 14:09,9/23/23 3:13,0,1,Satya Prakash,JDE Support Team,6,3,PROD,PRODUCTION,New Ticket,31/03/2021 00:00,NO,
176,111643,3/18/21 14:18,How to prevent our API to SQL injection,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,4/7/21 12:33,9/17/23 2:18,0,0,Satya Prakash,SAP Support Team,7,0,NON-PROD,DEVELOPMENT,New Ticket,No SLA for Request,YES,
177,111630,3/5/21 12:34,JDE Payables UPMin Attachment ,Erick White,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/7/21 8:39,3/6/21 0:34,1,0,Satya Prakash,JDE Support Team,8,2,PROD,PRODUCTION,New Ticket,12/03/2021 00:00,NO,
178,111655,3/29/21 16:18,Optimize the created Query.,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,4/6/21 16:31,9/28/23 4:18,0,1,Satya Prakash,SAP Support Team,7,0,PROD,PRODUCTION,New Ticket,No SLA for Request,YES,
179,111658,4/6/21 15:28,Creation of User for Integration Broker permission,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/6/21 15:28,10/6/23 3:28,0,0,Satya Prakash,SAP Support Team,2,0,NON-PROD,DEVELOPMENT,New Ticket,13/04/2021 00:00,NO,
180,111639,3/17/21 13:35,Appraisal Issue,Jane Wilberts,jwilberts@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,4/6/21 14:21,9/16/23 1:35,0,1,Satya Prakash,JDE Support Team,8,4,PROD,TEST,New Ticket,24/03/2021 00:00,NO,
181,111602,1/28/21 18:31,Past due balance posted in Student Center,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Request,Web,Resolved,4/6/21 13:22,1/29/21 6:31,1,0,Satya Prakash,SAP Support Team,34,5,PROD,PRODUCTION,Close Ticket,No SLA for Request,YES,
182,111644,3/18/21 14:23,How to whitelist domain name in SAP API,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,3/31/21 10:46,9/17/23 2:23,0,1,Satya Prakash,SAP Support Team,5,0,NON-PROD,DEVELOPMENT,New Ticket,No SLA for Request,YES,
183,111642,3/18/21 14:16,Creation of Separate nodes,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,3/30/21 18:58,9/17/23 2:16,0,0,Satya Prakash,SAP Support Team,3,1,NON-PROD,DEVELOPMENT,New Ticket,No SLA for Request,YES,
184,111651,3/24/21 16:54,Post Issue - SAP Slow Performance,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Phone,Open,3/30/21 18:54,3/29/21 16:54,1,0,Satya Prakash,SAP Support Team,4,0,PROD,PRODUCTION,Close Ticket,31/03/2021 00:00,NO,
185,111640,3/17/21 16:24,Loading upon saving Expression on Query Manager,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/30/21 18:00,9/16/23 4:24,0,1,Satya Prakash,SAP Support Team,18,0,PROD,DEVELOPMENT,New Ticket,24/03/2021 00:00,NO,
186,111641,3/17/21 16:37,Past due balance posted in Student Center,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/30/21 17:55,9/16/23 4:37,0,0,Satya Prakash,SAP Support Team,23,0,PROD,PRODUCTION,Close Ticket,24/03/2021 00:00,NO,
187,111617,2/15/21 16:55,Integration Broker Issue ,Aurora Miller,aurora.miller@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/30/21 17:03,2/16/21 4:55,0,1,Jared Smith,SAP Support Team,22,4,PROD,PRODUCTION,Close Ticket,22/02/2021 00:00,NO,
188,111556,11/16/20 16:05,Java Web Start Implementation ,Kimberly Jones,kjones@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/30/21 16:30,11/17/20 4:05,1,1,Raya Musk,JDE Support Team,42,0,PROD,PRODUCTION,New Ticket,23/11/2020 00:00,NO,
189,111654,3/26/21 10:23,Cloudflare blocked uploading xml,Erick White,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/30/21 14:33,9/24/23 22:23,0,0,Raya Musk,JDE Support Team,17,0,NON-PROD,TEST,New Ticket,02/04/2021 00:00,NO,
190,111622,2/22/21 15:16,Unable to Attach Update XML file in Data Def,Kian Rogers,krogers@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/29/21 14:01,2/23/21 3:16,1,0,Raya Musk,JDE Support Team,13,1,NON-PROD,TEST,New Ticket,01/03/2021 00:00,NO,
191,111583,12/22/20 10:34,RetroPay Report not displaying in PDF,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/29/21 13:35,12/27/20 10:34,0,1,Jared Smith,JDE Support Team,27,11,PROD,PRODUCTION,Close Ticket,29/12/2020 00:00,NO,
192,111634,3/11/21 10:44,1900 emails from JDE workflow notif mailer 2/22/21,Erick White,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Other,Resolved,3/29/21 13:16,9/9/23 22:44,0,1,Raya Musk,JDE Support Team,6,0,NON-PROD,TEST,New Ticket,18/03/2021 00:00,NO,
193,111457,7/7/20 13:27,DV Approval Error,Kimberly Jones,kjones@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/29/21 11:25,7/8/20 1:27,1,1,Raya Musk,JDE Support Team,33,3,PROD,PRODUCTION,New Ticket,14/07/2020 00:00,NO,
194,111653,3/25/21 19:06,"Expression output on Query Manager,",Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Open,3/26/21 16:37,9/24/23 7:06,0,1,Raya Musk,SAP Support Team,5,0,PROD,PRODUCTION,Close Ticket,01/04/2021 00:00,NO,
195,111652,3/24/21 17:54,Tablespace Issue,John Brown,jbrown@outlook.com,Normal,SAP JDE Support Department,Request,Web,Open,3/26/21 13:25,9/23/23 5:54,0,0,Raya Musk,SAP Support Team,4,0,NON-PROD,TEST,New Ticket,No SLA for Request,YES,
196,111476,7/24/20 13:16,Cannot Terminate Employment,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/24/21 15:10,7/29/20 13:16,0,1,Jared Smith,JDE Support Team,85,27,PROD,PRODUCTION,Close Ticket,31/07/2020 00:00,NO,
197,111637,3/16/21 10:02,Special Leave Issues,Kian Rogers,krogers@mailinator.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/24/21 13:23,9/14/23 22:02,0,0,Raya Musk,JDE Support Team,6,3,NON-PROD,TEST,Close Ticket,23/03/2021 00:00,NO,
198,111648,3/23/21 11:16,Locked Out OpenVPN Account,Cherie Mercurie,cmercurie@outlook.com,Normal,SAP JDE Support Department,Request,Web,Closed,3/23/21 17:29,9/21/23 23:16,0,1,Jared Smith,AWS Team,7,0,NON-PROD,DEVELOPMENT,Close Ticket,No SLA for Request,YES,
199,111647,3/22/21 18:33,[Test Only]:::SAP Reset Password,Cherie Mercurie,cmercurie@outlook.com,Normal,Internal Technical Department,Request,Phone,Open,3/22/21 18:33,3/27/21 18:33,1,1,Raya Musk,Help Desk Team,3,0,NON-PROD,TEST,New Ticket,No SLA for Request,YES,
200,111646,3/22/21 18:25,[Test Only]:::[SAP]Page not available,Cherie Mercurie,cmercurie@outlook.com,Normal,Internal Technical Department,Incident / Problem,Web,Resolved,3/22/21 18:25,3/27/21 18:25,1,1,Raya Musk,Help Desk Team,5,1,NON-PROD,TEST,New Ticket,29/03/2021 00:00,NO,
201,111645,3/19/21 8:52,How to override set-up in created element,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Request,Web,Resolved,3/19/21 8:52,9/17/23 20:52,0,1,Raya Musk,JDE Support Team,5,2,PROD,PRODUCTION,Close Ticket,No SLA for Request,YES,
202,111638,3/16/21 16:26,Test Ticket,Cherie Mercurie,cmercurie@outlook.com,Normal,Internal Technical Department,Incident / Problem,Email,Open,3/16/21 16:26,3/21/21 16:26,1,0,Raya Musk,Help Desk Team,2,0,PROD,PRODUCTION,New Ticket,23/03/2021 00:00,NO,
203,111599,1/28/21 10:39,Extraction of Data on ODSM.,Marvin Peters,mpeters@outlook.com,Normal,SAP JDE Support Department,Request,Web,Closed,3/15/21 17:10,2/2/21 10:39,0,1,Jared Smith,SAP Support Team,12,3,NON-PROD,DEVELOPMENT,New Ticket,No SLA for Request,YES,
204,111627,3/4/21 13:13,Post Issue - SAP LOGIN ISSUES ENCOUNTERED,Bladimir Macdonald,bmacdonald@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/21 17:09,3/9/21 13:13,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,11/03/2021 00:00,NO,
205,111628,3/4/21 13:15,Post Issue - SAP SLOW PERFORMANCE ISSUE,Bladimir Macdonald,bmacdonald@outlook.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/21 17:06,3/9/21 13:15,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,11/03/2021 00:00,NO,
206,111626,3/3/21 15:44,Person Analyzer,Kian Rogers,krogers@mailinator.com,Normal,SAP JDE Support Department,Request,Web,Closed,3/11/21 16:38,3/4/21 3:44,0,1,Jared Smith,JDE Support Team,3,0,NON-PROD,TEST,Close Ticket,No SLA for Request,YES,
207,111635,3/11/21 11:54,Configuration related to web browser to open Java ,Erick White,ewhite@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Other,Open,3/11/21 11:54,9/9/23 23:54,0,1,Raya Musk,JDE Support Team,3,1,NON-PROD,TEST,New Ticket,18/03/2021 00:00,NO,
208,111619,2/17/21 15:32,issues in UP General Payroll Scholars Report,Melody Thompson,mthompson@yahoo.com,Normal,SAP JDE Support Department,Incident / Problem,Web,Closed,3/10/21 17:11,2/18/21 3:32,0,1,Jared Smith,JDE Support Team,21,11,PROD,PRODUCTION,Close Ticket,24/02/2021 00:00,NO,
210,111625,2/24/21 11:34,Tuition Calculation Issue,Jasper John,jasper.john@gmail.com,Normal,SAP JDE Support Department,Request,Web,Closed,3/9/21 8:48,2/24/21 23:34,0,1,Jared Smith,SAP Support Team,12,3,PROD,PRODUCTION,New Ticket,No SLA for Request,YES,
211,111631,3/5/21 15:49,[SAP] Page is not available,Cherie Mercurie,cmercurie@outlook.com,Normal,Internal Technical Department,Incident / Problem,Web,Open,3/5/21 15:49,3/10/21 15:49,1,0,Raya Musk,Help Desk Team,2,0,PROD,PRODUCTION,New Ticket,12/03/2021 00:00,NO,
212,111629,3/5/21 10:49,Test Ticket,Cherie Mercurie,cmercurie@outlook.com,Normal,Internal Technical Department,Incident / Problem,Web,Open,3/5/21 10:49,3/12/21 17:00,1,0,Raya Musk,Help Desk Team,3,0,NON-PROD,TEST,New Ticket,12/03/2021 00:00,NO,
214,111623,2/22/21 16:55,Person Analyzer for 132939,Kian Rogers,krogers@mailinator.com,Normal,SAP JDE Support Department,Request,Web,Open,3/1/21 16:20,8/24/23 4:55,0,0,Raya Musk,JDE Support Team,4,0,NON-PROD,TEST,New Ticket,No SLA for Request,YES,
